Q4687007	ÉACÉES [sé], fêtes que l'on célébrait dans l'île d'Egine, en l'honneur d'Eaque, fils de Jupiter.
Q2408803	Échiquier, juridiction anglaise qui règle notamment les affaires de finances.
Q207368	ECHO [ko], nymphe qui, ayant mécontenté Junon, fut changée en rocher, et condamnée à répéter les derniers mots de ceux qui l'interrogeaient.
Q273413	ECIJA, v. d'Espagne, prov. de Séville, près du Génil, affl. du Guadalquivir ; 25.500 h.
Q490155	ECKMÜHL [mul'], village de Bavière, sur la Grande Laber ; 250 h. Napoléon y vainquit les Autrichiens en 1809. Davout fut créé prince d'Eckmühl.
Q135225	ECKMÜHL [mul'] (Phare d'), phare, un des plus beaux du monde, situé à la pointe de Penmarch (Finistère), à 60 mètres au-dessus du niveau de la mer, et construit, en 1897, grâce à un don de la fille de Davout, prince d'Eckmühl, d'où son nom.
Q3068554	ECKSTEIN (Ferdinand, baron d'), érudit et publiciste français d'origine danoise (1790-1861).
Q1478200	Éclair (l'), drame lyrique en trois actes, paroles de Saint-Georges et Planard, musique d'Halévy ; partition élégante, dont le succès fut très grand (1835).
Q1880701	Éclipse (l'), journal satirique qui parut de 1868 à 1876 sous la direction d'André Gill.
Q2065987	ÉCLUSE (L') [en hollandais Sluis], petite ville de Hollande, prov. de Zélande ; 1.650 h. Non loin de là, les Anglais gagnèrent une bataille navale sur les Français en 1340, au début de la guerre de Cent Ans.
Q3043171	Écluse (Défilé de l') ou Pas de la Cluse, défilé creusé entre le Jura et les Alpes (Ain), et franchi par la route qui va de Lyon à Genève. Il est défendu par le fort de l'Ecluse, construit à 420 mètres d'altitude sur les escarpements du Grand Crédo (ou Crêt d'Eau).
Q11917970	ECNOME (auj. Monte Serrato ou di Licata), cap montagneux de la Sicile méridionale, où les Carthaginois furent vaincus sur mer par Régulus et Manlius Vulso (256 av. J.-C.).
Q273480	École militaire, monument élevé à Paris, à l'extrémité du Champ-de-Mars, en 1752, par l'architecte Gabriel et destiné d'abord à la création d'une école militaire de jeunes gentilshommes. Depuis 1793 ses bâtiments n'ont cessé d'être occupés par un quartier de cavalerie. Ils contiennent aujourd'hui, en outre, l'Ecole supérieure de guerre.
Q1423962	École des maris (l'), comédie en trois actes et en vers, de Molière. Sganarelle en est le principal personnage. V. Sganarelle (1661).
Q937443	École des femmes (l'), comédie en cinq actes et en vers, de Molière (1662) ; œuvre admirable, la première en date des grandes comédies de Molière. Il y montre que la vertu d'une femme ne saurait reposer uniquement sur son ignorance du mal. — Critique de l'Ecole des femmes, comédie en un acte et en prose, de Molière (1663).
Q107249368	École des mères (l'), comédie en cinq actes et en vers de La Chaussée (1745) ; une des meilleures pièces du genre dit « larmoyant ».
Q471118	École de la médisance (l'), [School for scandal], comédie de Sheridan, une des pièces les plus originales et les plus gaies du théâtre anglais (1766). Elle est dirigée contre ces mille bavardages de société qui dénaturent les faits, et de légères peccadilles font quelquefois des crimes monstrueux.
Q107249392	École des vieillards (l'), comédie de Casimir Delavigne, bien construite et agréablement écrite (1823).
Q186953	École d'Athènes (l') ou la Philosophie, chef-d'œuvre de Raphaël, au Vatican (Chambres) ; les grands philosophes et les grands écrivains grecs Socrate, Platon, Aristote, Zénon, Empédocle, Diogène, Nicomaque, etc., sont groupés sur les degrés et sous le péristyle d'un temple. Scène imposante, physionomies expressives ; belle architecture.
Q28775131	École des singes (l'), tableau de David Teniers (Madrid). La gent écolière y est saisie dans toute sa pétulance et sa mutinerie.
Q17319772	École du soir (l'), tableau de G. Dov (Amsterdam). On y admire l'attitude du pédagogue, la naïveté des visages d'enfants, le pittoresque de la composition, la perfection de l'effet de lumière.
Q27624120	École turque (Sortie de l'), célèbre aquarelle de Decamps représentant une volée d'écoliers qui prend la clef des champs en se bousculant (1842).
Q847027	ÉCOLES : I. Ministère de l'Agriculture. Institut national agronomique, école supérieure d'agriculture, fondée à Paris en 1876 ; forme de grands agriculteurs, des professeurs d'agriculture et des ingénieurs agricoles. Admission après concours. Le régime est l'externat ; la durée des études est de deux ans. Écoles nationales d'agriculture, à Grignon, Montpellier et Rennes. Elles forment des agriculteurs instruits. Admission après concours. Certains titres et diplômes assurent des points aux candidats, qui doivent être âgés de 17 ans accomplis. La durée des études est de 2 ans ou 2 ans et 1/2. Ces écoles reçoivent des internes, demi-internes et externes. Écoles pratiques d'agriculture. L'enseignement pratique de l'agriculture est donné dans les Ecoles pratiques d'agriculture ; d'une façon plus élémentaire dans les fermes-écoles, les écoles pratiques de laiterie, d'aviculture, de sylviculture et à l'Ecole d'horticulture de Versailles. École forestière nationale, à Nancy. Elle prépare à la carrière des eaux et forêts, et se recrute parmi les élèves diplômés de l'Institut agronomique ou de l'Ecole polytechnique. La durée des études est de 2 ans. Les candidats doivent être âgés de 22 ans au plus. Écoles nationales vétérinaires d'Alfort, Lyon et Toulouse. Elles forment des médecins vétérinaires. L'école d'Alfort forme également des vétérinaires militaires. L'admission a lieu au concours ; les candidats doivent être pourvus d'un des diplômes du baccalauréat, et avoir 17 ans au moins, 25 ans au plus. Durée des études, 4 ans. II. Ministère des colonies. École coloniale, à Paris. Assure le recrutement des administrations et services coloniaux. Elle comprend plusieurs sections françaises et une section indigène. Les élèves des sections françaises (externes) doivent être âgés de 18 ans au moins et de 23 ans au plus, et en outre être titulaires d'un baccalauréat, d'un diplôme supérieur ou d'un certificat des écoles supérieures de commerce. L'admission a lieu au concours et certains diplômes assurent des points. Quant aux élèves indigènes envoyés par les colonies, ils sont internes. École nationale supérieure d'agriculture coloniale, à Nogent-sur-Marne. Reçoit des élèves diplômés de l'Institut agronomique, des écoles nationales d'agriculture, de l'école coloniale, de l'école centrale des Arts et Manufactures, des licenciés ès sciences physiques ou naturelles. La durée des études est d'un an. III. Ministère du Commerce et de l'Industrie. École centrale des Arts et Manufactures à Paris. Elle forme des ingénieurs civils. Les candidats admis au concours doivent avoir 17 ans. Les élèves sont externes, la durée des études est de 3 ans. Écoles nationales d'arts et métiers à Aix, Angers, Châlons-sur-Marne, Cluny et Lille, destinées à faire des chefs d'atelier pour le travail du bois et du fer. Concours à l'âge de 15 ans au moins, 18 ans au plus. La durée des études est de 3 ans ; le régime est l'internat. École des Hautes Etudes commerciales, à Paris. Elle forme des négociants et des agents consulaires. Admission par voie d'examen. Candidats âgés de 16 ans au moins ; internes et demi-pensionnaires, externes. Durée des études, 2 ans. École supérieure de commerce, à Paris. Durée des études, 3 ans ; âge d'admission : 15 ans révolus ; internes et demi-pensionnaires. Écoles d'horlogerie. Au nombre de trois (Besançon, Cluses et Paris), elles forment des ouvriers horlogers après 3 ans d'études. Le régime est l'externat. École professionnelle supérieure des postes et télégraphes. Elle comprend deux sections, l'une destinée à assurer le recrutement du personnel supérieur de l'administration, l'autre le recrutement du service technique des télégraphes. Les candidats qui ne sortent pas des grandes écoles scientifiques doivent appartenir à l'administration, être âgés de 25 à 30 ans et présenter diverses garanties de capacité. IV. Ministère de la Guerre. École supérieure de guerre. Forme des officiers d'état-major. Admet par voie de concours des lieutenants et capitaines ayant au moins cinq ans de service comme officiers, dont trois ans de service effectif dans les troupes. Durée des études, 2 ans. École polytechnique. Les candidats doivent être bacheliers de l'enseignement secondaire moderne ou posséder le certificat de la première épreuve du baccalauréat de l'enseignement secondaire pratique ou de la première partie du nouveau baccalauréat, en outre avoir 17 ans au moins et 21 ans au plus. La durée des études est de deux ans. Les élèves, à la suite d'un examen de sortie, sont déclarés aptes, suivant le rang obtenu, aux écoles d'application suivantes : manufactures de l'Etat, poudres et salpêtres, génie maritime, mines, ponts et chaussées, postes et télégraphes (sont nommés sous-lieutenants de réserve) ; Fontainebleau, école forestière, etc. (après un an de service comme sous-lieutenants dans un corps de troupes). Note. — D'après la loi du 21 mars 1905, les jeunes gens admis à Polytechnique et à Saint-Cyr doivent, avant leur entrée dans ces écoles, accomplir une année de service dans un corps de troupes aux conditions ordinaires, à moins d'y être admis avant 18 ans, auquel cas ils entrent immédiatement, mais sont tenus quand ils atteignent cet âge de contracter un engagement de quatre ans. En sortant de l'école ils doivent alors servir d'abord une année dans un corps de troupes aux conditions ordinaires, puis sont nommés sous-lieutenants. École d'application de l'artillerie et du génie. Cette école, d'abord à Metz et depuis 1871 à Fontainebleau, reçoit des élèves sortant de l'Ecole polytechnique et aussi des sous-lieutenants et lieutenants venant des régiments. Après deux ans, les élèves sortent comme lieutenants dans l'artillerie ou le génie. École militaire de l'artillerie et du génie, fondée en 1884 à Versailles. Les sous-officiers sont admis après concours et sortent sous-lieutenants au bout d'un an d'études. École des poudres et salpêtres, établie à Paris pour les élèves qui, à leur sortie de l'Ecole polytechnique, entrent dans le corps des ingénieurs des poudres et salpêtres. École spéciale militaire de Saint-Cyr, fondée en 1802, est destinée à fournir des officiers pour les différentes armes. Les candidats, qui doivent posséder le certificat de la première partie du baccalauréat de l'enseignement secondaire et être âgés de plus de 17 ans et de moins de 21 ans, sont admis après concours et signent un engagement volontaire dans l'armée. Le régime de l'école est l'internat, la durée des études de 2 ans, au bout desquels les élèves sont nommés sous-lieutenants de cavalerie ou d'infanterie. (V. la note à la suite de l'Ecole polytechnique.) École d'application de cavalerie de Saumur. Elle se recrute parmi : 1° les lieutenants instructeurs qui viennent s'y perfectionner ; 2° les élèves de Saint-Cyr sortant dans la cavalerie, et qui doivent y passer un an avant d'être incorporés dans un régiment ; 3° les sous-officiers de cavalerie, qui doivent y passer un an avant d'être nommés sous-lieutenants ; 4° les élèves des écoles vétérinaires. École militaire d'infanterie, fondée à Saint-Maixent en 1881. Les sous-officiers admis à la suite d'un examen y passent un an avant d'être nommés sous-lieutenants. École du service de santé militaire, à Lyon. Les élèves doivent avoir 17 ans au moins et 23 ans au plus (25 ans pour les candidats en activité de service), être pourvus du certificat d'études P. C. N. et de quatre inscriptions valables pour le doctorat. École d'application du service de santé militaire, établie au Val-de-Grâce. Elle reçoit comme stagiaires sans concours les docteurs sortant de l'Ecole de Lyon, et au concours les docteurs en médecine et pharmaciens de 1re classe civils. École d'administration militaire de Vincennes. Elle reçoit, après concours, des sous-officiers de toutes armes, qui sont, à la sortie, nommés officiers d'administration (intendance, subsistances, etc.). École normale de gymnastique et d'escrime à Joinville-le-Pont. Forme des maîtres d'armes et des instructeurs de gymnastique pour les régiments. Prytanée militaire de La Flèche. Donne à des fils de militaires et marins une éducation qui les prépare à la carrière militaire. Les élèves doivent avoir 9 ans accomplis et moins de 10 ans pour être admis. Places gratuites et demi-gratuites. Écoles préparatoires militaires, au nombre de quatre pour l'infanterie, une pour la cavalerie, une pour l'artillerie et le génie. Reçoivent les fils de soldats, sous-officiers et officiers jusqu'au grade de capitaine, et les fils d'officiers supérieurs décédés. V. Ministère de l'Instruction publique. Écoles maternelles (anciennes salles d'asile). Les enfants âgés de 2 à 6 ans y sont préparés à entrer à l'école primaire. Écoles primaires. Créées par la Convention en 1792, elles reçoivent des enfants de 5 ou 6 à 13 ans. Leur nombre s'est multiplié, et le moindre village a son école, depuis que l'enseignement primaire est devenu gratuit et obligatoire. Écoles primaires supérieures. Indépendamment des écoles primaires proprement dites, il y a, dans un certain nombre de villes importantes, des écoles primaires supérieures. On y donne aux enfants, en outre des connaissances ordinaires de l'enseignement primaire, des notions pratiques sur l'agriculture, le commerce (garçons), le travail manuel (garçons et filles), l'économie domestique (filles), etc. Écoles normales primaires d'instituteurs et d'institutrices, forment des instituteurs et institutrices primaires. Les candidats doivent être âgés de 16 à 18 ans, produire le brevet élémentaire, subir un concours d'admission et s'engager à servir pendant dix ans dans l'enseignement public ; l'enseignement est gratuit. Le régime est l'internat. Écoles normales primaires supérieures pour les instituteurs, à Saint-Cloud (Seine-et-Oise) ; pour les institutrices à Fontenay-aux-Roses (Seine). Elles forment des professeurs pour les écoles normales primaires et pour les écoles primaires supérieures. L'admission a lieu au concours, et le régime est l'internat. Les candidats doivent avoir 19 ans au moins et 25 ans au plus, être pourvus du brevet supérieur ou de l'un des baccalauréats et contracter, s'ils ne l'ont fait déjà, un engagement de servir pendant 10 ans dans l'enseignement. Durée des études, 2 années pour Saint-Cloud, 3 ans pour Fontenay. École normale secondaire pour les jeunes filles, établie à Sèvres (Seine-et-Oise). Les élèves, recrutées au concours, munies du diplôme de bachelière ou du brevet supérieur et âgées de 18 ans au moins et 24 ans au plus, sortent professeurs dans les lycées et collèges de jeunes filles. École normale supérieure, fondée à Paris en 1808. Les candidats, bacheliers ès lettres ou ès sciences et âgés de 18 à 24 ans, sont admis au concours ; ils sortent, au bout de trois ans d'internat, professeurs d'enseignement secondaire. Écoles ou facultés des sciences et des lettres. Les cours y sont faits en vue de préparer les bacheliers aux examens de la licence et de l'agrégation. C'est devant elles que sont subies les épreuves du baccalauréat, de la licence et du doctorat. Écoles ou facultés de médecine. Les étudiants qui ont pris régulièrement un certain nombre d'inscriptions et subi avec succès divers examens obtiennent le diplôme de docteur en médecine. Écoles préparatoires de médecine et de pharmacie. Elles ont été créées dans les villes où n'existe pas de Faculté de médecine. Écoles supérieures de pharmacie, à Paris, Nancy, Montpellier et Toulouse ; préparent les jeunes gens à l'obtention du diplôme de pharmacien. Écoles ou facultés de droit. Elles sont au nombre de treize, et leurs professeurs enseignent le droit romain, le droit français, le droit international privé, l'économie politique. Les élèves doivent être âgés de 16 ans au moins. Ceux qui ont pris douze inscriptions obtiennent, après examen, le diplôme de licencié en droit ; ceux qui en ont pris seize sont admis à subir les épreuves du doctorat. Les étudiants non bacheliers ès lettres n'obtiennent point la licence, mais un certificat de capacité en droit. École nationale des chartes, fondée en 1821 à Paris ; forme des archivistes paléographes. Les candidats doivent être bacheliers ès lettres et avoir moins de 25 ans ; ils subissent un examen d'admission. La durée des études (externat) est de trois ans. École spéciale des langues orientales vivantes, fondée à Paris en 1795 pour former des drogmans et des interprètes chargés d'assister nos agents diplomatiques et consulaires dans les pays orientaux. Les élèves doivent être bacheliers ès lettres ou subir un examen d'admission. Durée des études, trois ans. École pratique des hautes études, fondée à Paris, près la Sorbonne, en 1862. Aucune condition d'admission ; les leçons ont pour objet de permettre aux élèves de se perfectionner dans les hautes questions scientifiques ou littéraires. École du Louvre. On désigne sous ce nom l'ensemble des cours faits dans le palais du Louvre sur l'archéologie et les civilisations de l'antiquité. École nationale et spéciale des Beaux-Arts, fondée à Paris en 1648 sous le titre d'Ecole académique ; elle a reçu son titre actuel en 1793. Les élèves, âgés de 15 à 30 ans, sont admis après examen dans l'une des sections de peinture (qui comprend aussi la gravure en taille douce), de sculpture (qui comprend aussi la gravure en médailles et en pierres fines), et d'architecture. Elle prépare les artistes aux différents concours pour le grand prix de Rome. Écoles des Beaux-Arts. Il en existe une cinquantaine dans les plus grandes villes de France. Elles prennent les titres les plus divers : nationales, régionales, municipales, académiques de dessin, peinture, art industriel, art décoratif, etc. Elles ont toutes pour but de former des artisans et ouvriers d'art pour les industries locales. Conservatoire national de musique et de déclamation, pour l'enseignement gratuit de la musique vocale et instrumentale et de la déclamation dramatique et lyrique, de l'harmonie, de la composition, etc. Admission par voie d'examen. Il y a un minimum et un maximum d'âge pour chaque classe. École française d'Athènes, fondée en 1846, pour perfectionner des professeurs âgés de moins de 30 ans (docteurs ès lettres ou agrégés des lettres, de grammaire, de philosopie ou d'histoire), dans la langue, l'histoire et l'archéologie grecques. La durée du séjour à Athènes est de trois ans au plus. École française de Rome, fondée au palais Farnèse (1874). Elle est aux antiquités latines ce qu'est l'Ecole d'Athènes aux antiquité grecques. École de Rome ou Académie de France à Rome (villa Médicis). Elle reçoit pendant trois ans les architectes, sculpteurs, peintres, graveurs et musiciens qui ont obtenu le Grand prix de Rome. VI. Ministère de l'Intérieur. Écoles des sourds-muets. Les enfants admis dans ces écoles reçoivent, avec les soins médicaux, une instruction élémentaire et professionnelle. Outre diverses institutions spéciales, il y a en France trois institutions nationales de sourds-muets, celles de Paris, Bordeaux et Chambéry. Écoles d'aveugles. Il y a en France deux établissements nationaux affectés à l'instruction intellectuelle et professionnelle des aveugles : l'Institution nationale des jeunes aveugles à Paris, et l'Ecole Braille à Saint-Mandé (Seine). VII. Ministère de la marine. École navale, établie en rade de Brest, à bord du vaisseau Borda. Les élèves âgés de 15 ans et demi au moins et n'ayant pas encore accompli leur 19e année entrent à la suite d'un concours, y passent deux ans, et en sortent, après examen, aspirants de 2e classe. École d'application du génie maritime, fondée à Paris pour préparer les élèves sortant de l'Ecole polytechnique aux fonctions d'ingénieur des constructions navales. Les cours durent deux ans. Écoles d'hydrographie, fondées dans nos principaux ports, pour former des capitaines au long cours et des maîtres au cabotage. On exige des candidats, âgés de 13 ans au moins, une instruction élémentaire ; mais les élèves ne peuvent prétendre au brevet de capitaine au long cours ou de maître au cabotage qu'à l'âge de 24 ans et après 60 mois de navigation. Écoles des mécaniciens, destinées à fournir des mécaniciens pour la flotte nationale. Les candidats viennent de l'école des mousses (Brest) ou de l'école des apprentis mécaniciens (Lorient) et doivent avoir 15 ans 9 mois au moins 17 ans au plus. Les ouvriers libres sur métaux qui veulent contracter un engagement de 5 ans dans la flotte sont admis également à concourir (de 18 à 25 ans). Durée des études, 2 ans. École des pupilles de la marine, à la Villeneuve-en-Guilers, pour les orphelins fils de marins. Les enfants admis par le gouvernement et jugés aptes au service de la marine sont gardés de 7 à 14 ans, puis envoyés à l'Ecole des mousses. École des mousses, établie en rade de Brest, à bord de l'Austerlitz. Elle reçoit les enfants de 14 ans et demi au moins et de 15 ans au plus et des pupilles de la marine. A 16 ans, les élèves contractent un engagement dans les équipages de la flotte. École du service de santé de la marine, à Bordeaux. Elle prépare des médecins pour la flotte et se recrute dans les écoles annexes de Brest, Rochefort et Toulon. La durée des études est de trois ans, et les élèves en sortant contractent un engagement de trois ans dans la marine. Écoles annexes de santé de la marine, à Brest, Rochefort et Toulon. Les candidats doivent être âgés de 17 ans au moins ; comme médecins, être pourvus du diplôme de l'enseignement secondaire classique ou du certificat d'études P. C. N. ; comme pharmaciens, d'un des diplômes du baccalauréat. Le régime est l'internat. VIII. Ministère des Travaux publics. École des ponts et chaussées, fondée à Paris en 1747 pour former les ingénieurs du service des ponts et chaussées. Les élèves titulaires sortent de l'Ecole polytechnique. Quant aux élèves libres admis à suivre ces cours, qui durent trois ans, ils obtiennent, après les épreuves de sortie, un diplôme d'ingénieur civil. L'enseignement est gratuit. École nationale supérieure des mines, fondée à Paris en 1747. Elle reçoit : 1° des élèves titulaires, sortant de l'Ecole polytechnique et destinés à recruter le corps des ingénieurs de l'Etat pour le service des mines ; 2° des élèves libres, admis après examen et qui sont aptes, après les trois ans d'études, à diriger des exploitations minières et métallurgiques. École nationale des mines de Saint-Etienne, formant des directeurs d'exploitation minière ou métallurgique et des gardes-mines. La durée des études, qui sont gratuites, est de trois ans. L'Ecole ne reçoit que des externes admis après examen. École des maîtres ouvriers mineurs. Il y en a une à Alais et une à Douai. Les candidats, admis après examens, sont internes et la durée des cours est de deux ans. Pour être admis, il faut avoir préalablement travaillé comme ouvrier dans une mine. IX. Ecoles libres. École libre des sciences politiques, fondée en 1874 et dont l'enseignement prépare aux carrières diplomatique et consulaire, au conseil d'Etat, à la Cour des comptes et aux divers ministères. École spéciale d'architecture, fondée à Paris (1869) pour former des architectes pratiques. La durée des cours est de trois ans. École municipale de physique et de chimie industrielle, fondée par la ville de Paris, et destinée à former des ingénieurs physiciens et chimistes pour l'industrie privée. Les candidats doivent avoir de 16 à 19 ans. Durée des études, trois ans. Il existe en outre, à Paris, les écoles suivantes : dentaire, du notariat, spéciale des Travaux publics, du journalisme, supérieure d'électricité, d'anthropologie, d'infirmières, etc., et, en province, des écoles libres, trop nombreuses pour être énumérées ici.
Q273670	ÉCOMMOY [ko-moi], ch.-l. de c. (Sarthe), arr. du Mans ; 3.700 h. Ch. de f. Orl.
Q42189227	Économies royales, mémoires de Sully, document très précieux pour l'histoire du règne de Henri IV, quoique ce soit une narration souvent sans ordre et sans agrément.
Q2555163	Économique (l'), ouvrage de Xénophon, traitant surtout des propriétés rurales (ive s. av. J.-C.).
Q273658	Écorcheurs, bandes armées qui désolèrent la France sous Charles VI et Charles VII.
Q76957	ÉCOS [ko], ch.-l. de c. (Eure), arr. des Andelys ; 550 h. Bestiaux ; rouennerie.
Q22	ÉCOSSE, partie de la Grande-Bretagne ; 4.600.000 h. (Ecossais). Cap. Edimbourg. V. Grande-Bretagne.
Q1952	ÉCOSSE (Nouvelle-). V. Nouvelle-Écosse.
Q273689	ÉCOUCHÉ, ch.-l. de c. (Orne), arr. d'Argentan, près de l'Orne ; 1.300 h. (Ecouchéens). Ch. de f. O.
Q273695	ÉCOUEN [an], ch.-l. de c. (Seine-et-Oise), arr. de Pontoise ; 1.650 h. Ch. de f. N. Château construit par Jean Bullant pour le connétable Anne de Montmorency (xvie s.), et qui sert aujourd'hui de succursale au pensionnat de la Légion d'honneur de Saint-Denis.
Q273736	ÉCUEILLÉ [keu, ll mll.], ch.-l. de c. (Indre), arr. de Châteauroux, sur la Tourmente, s.-affl. de la Loire ; 2.000 h.
Q775984	ÉCURY-SUR-COOLE, ch.-l. de c. (Marne), arr. de Châlons ; 350 h. Ch. de f. E.
Q77056	EDAM, v. et port de Hollande, près du Zuyderzée ; 6.500 h. Belle église du xve siècle. Fromages.
Q108652	Eddas. Ce mot sert à indiquer deux recueils des traditions mythologiques et légendaires des anciens peuples scandinaves. Le premier a été colligé au xie siècle par le prêtre islandais Soemond Sigfusson (le savant) ; le second est attribué à Snorri Sturleson, mort en 1241. Il y a dans la sauvage poésie des Eddas une âpreté saisissante, une rudesse où éclôt parfois, comme une fleur entre deux pierres, quelque pensée vraiment tendre : c'est la beauté, mais la beauté sévère, qui caractérise ce monument de l'antique génie de la race germanique.
Q4171798	EDDYSTONE, rochers de la côte de Cornwall (Angleterre). Magnifique phare, construit de 1879 à 1882.
Q893319	EDELINCK (Gérard), graveur flamand, né à Anvers. Il substitua les tailles en losange aux tailles carrées (1649-1707).
Q19014	ÉDEN (mot hébreu signif. Paradis terrestre). D'après la Genèse, lieu de délices où furent placés, par Dieu, le premier homme et la première femme.
Q685585	EDER ou EDDER [è-dèr], riv. d'Allemagne, affl. de la Fulda, passe à Fritzlar ; 120 kil.
Q1190403	ÉDESSE, anc. et opulente ville de la Mésopotamie septentrionale. Ce fut, au lendemain de la prise de Jérusalem le chef-lieu d'une principauté chrétienne fondée par Godefroi de Bouillon ; auj. Orfa (Turquie d'Asie).
Q1438809	Édesse (école d'), célèbre école de philosophie chrétienne (iiie-ve s.).
Q239107	EDFOU, ville de la Haute-Égypte, sur la rive gauche du Nil ; environ 6.000 habitants. Restes d'un temple ancien.
Q192925	EDGAR, roi d'Angleterre de 959 à 975.
Q332140	EDGAR, roi d'Ecosse de 1097 à 1107, neveu du prince saxon Edgar Atheling (noble), dépossédé en 1066 par Guillaume le Conquérant.
Q979865	EDGEWORTH (Lowell), ingénieur mécanicien anglais. On lui doit le premier télégraphe électrique qui ait fonctionné en Angleterre (1744-1817).
